"", "ID1", "Year", "ID2", "Latitude", "Longitude", "Elevation", "Tmax01", "Tmax02", "Tmax03", "Tmax04", "Tmax05", "Tmax06", "Tmax07", "Tmax08", "Tmax09", "Tmax10", "Tmax11", "Tmax12", "Tmin01", "Tmin02", "Tmin03", "Tmin04", "Tmin05", "Tmin06", "Tmin07", "Tmin08", "Tmin09", "Tmin10", "Tmin11", "Tmin12", "Tave01", "Tave02", "Tave03", "Tave04", "Tave05", "Tave06", "Tave07", "Tave08", "Tave09", "Tave10", "Tave11", "Tave12", "PPT01", "PPT02", "PPT03", "PPT04", "PPT05", "PPT06", "PPT07", "PPT08", "PPT09", "PPT10", "PPT11", "PPT12", "DD_0_01", "DD_0_02", "DD_0_03", "DD_0_04", "DD_0_05", "DD_0_06", "DD_0_07", "DD_0_08", "DD_0_09", "DD_0_10", "DD_0_11", "DD_0_12", "DD5_01", "DD5_02", "DD5_03", "DD5_04", "DD5_05", "DD5_06", "DD5_07", "DD5_08", "DD5_09", "DD5_10", "DD5_11", "DD5_12", "DD_18_01", "DD_18_02", "DD_18_03", "DD_18_04", "DD_18_04", "DD_18_05", "DD_18_06", "DD_18_07", "DD_18_08", "DD_18_09", "DD_18_10", "DD_18_11", "DD_18_12", "DD18_01", "DD18_02", "DD18_03", "DD18_04", "DD18_05", "DD18_06", "DD18_07", "DD18_08", "DD18_09", "DD18_10", "DD18_11", "DD18_12", "NFFD01", "NFFD02", "NFFD03", "NFFD04", "NFFD05", "NFFD06", "NFFD07", "NFFD08", "NFFD09", "NFFD10", "NFFD11", "NFFD12", "PAS01", "PAS02", "PAS03", "PAS04", "PAS05", "PAS06", "PAS07", "PAS08", "PAS09", "PAS10", "PAS11", "PAS12", "Eref01", "Eref02", "Eref03", "Eref04", "Eref05", "Eref06", "Eref07", "Eref08", "Eref09", "Eref10", "Eref11", "Eref12", "CMD01", "CMD02", "CMD03", "CMD04", "CMD05", "CMD06", "CMD07", "CMD08", "CMD09", "CMD10", "CMD11", "CMD12", "RH01", "RH02", "RH03", "RH04", "RH05", "RH06", "RH07", "RH08", "RH09", "RH10", "RH11", "RH12", "NA_L1NAME"
"4631", "ak031.crn", 1985, "FTR", 67.933333, -161.699997, 126, -12.5, -20.3, -17.9, -13.9, 4.7, 12.9, 18.4, 14.1, 4.3, -7.5, -12.8, -12.7, -19.1, -27.6, -25.9, -22.3, -3, 6.3, 11, 8.1, -0.5, -12.5, -18.8, -19, -15.8, -24, -21.9, -18.1, 0.8, 9.6, 14.7, 11.1, 1.9, -10, -15.8, -15.8, 14, 8, 37, 15, 16, 21, 10, 80, 83, 101, 28, 26, 492, 671, 680, 544, 42, 0, 0, 0, 20, 233, 471, 492, 0, 0, 0, 0, 12, 141, 298, 188, 18, 1, 0, 0, 1046, 1171, 1239, 1081, 1081, 532, 252, 109, 215, 483, 871, 1013, 1045, 0, 0, 0, 0, 0, 1, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 31, 31, 13, 0, 0, 0, 14, 8, 37, 15, 11, 1, 0, 3, 16, 40, 21, 28, 0, 0, 0, 0, 40, 61, 73, 43, 14, 0, 0, 0, 0, 0, 0, 0, 24, 41, 63, 0, 0, 0, 0, 0, 70, 64, 62, 61, 71, 78, 77, 80, 83, 77, 72, 70, "TUNDRA"
"5094", "ak031.crn", 2006, "FTR", 67.933333, -161.699997, 126, -27.1, -13.1, -17.6, -8.2, 6.1, 15.6, 17.6, 11.6, 7.9, -1.2, -12.9, -16.9, -35.4, -22, -23.5, -15.3, 0.1, 8.1, 11.1, 5.7, 3.5, -5.1, -18.6, -22.6, -31.3, -17.5, -20.6, -11.7, 3.1, 11.9, 14.3, 8.6, 5.7, -3.2, -15.8, -19.7, 8, 38, 24, 8, 14, 37, 65, 38, 83, 96, 22, 21, 967, 492, 640, 357, 15, 0, 0, 0, 4, 130, 470, 611, 0, 0, 0, 0, 25, 206, 288, 114, 57, 5, 0, 0, 1521, 991, 1198, 891, 891, 461, 185, 119, 292, 369, 658, 1012, 1166, 0, 0, 0, 0, 0, 3, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 30, 31, 29, 24, 3, 0, 0, 8, 38, 24, 8, 7, 0, 0, 3, 21, 50, 13, 40, 0, 0, 0, 0, 39, 71, 68, 39, 16, 0, 0, 0, 0, 0, 0, 0, 26, 34, 3, 1, 0, 0, 0, 0, 57, 59, 71, 68, 79, 76, 79, 80, 85, 84, 73, 62, "TUNDRA"
"5557", "ak031.crn", 1953, "FTR", 67.933333, -161.699997, 126, -25, -19.5, -17.8, -2.1, 9.1, 15.2, 17.3, 12.3, 6.3, -6, -12.3, -20.2, -32.4, -28, -25.7, -11.3, 0.3, 7.3, 9.2, 5.8, 0, -12.1, -18.6, -27.6, -28.7, -23.8, -21.8, -6.7, 4.7, 11.3, 13.3, 9, 3.1, -9, -15.4, -23.9, 5, 11, 4, 6, 13, 34, 52, 73, 61, 37, 20, 21, 887, 666, 676, 209, 7, 0, 0, 0, 12, 227, 461, 740, 0, 0, 0, 2, 42, 189, 257, 125, 26, 1, 0, 0, 1441, 1166, 1234, 740, 740, 414, 203, 145, 279, 447, 841, 1002, 1295, 0, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 31, 30, 14, 0, 0, 0, 5, 11, 4, 6, 4, 0, 1, 5, 9, 43, 21, 15, 0, 0, 0, 0, 51, 71, 73, 41, 17, 0, 0, 0, 0, 0, 0, 0, 37, 38, 21, 0, 0, 0, 0, 0, 62, 59, 62, 62, 70, 74, 74, 79, 78, 73, 71, 72, "TUNDRA"
"6020", "ak031.crn", 2013, "FTR", 67.933333, -161.699997, 126, -16.4, -20, -15.3, -6.5, 4.1, 19.1, 19.5, 14.6, 4.3, -0.5, -11.5, -15.8, -22.1, -29, -22, -14.6, -2.5, 11.1, 13.2, 8.4, -0.8, -4.4, -18.2, -21.3, -19.3, -24.5, -18.6, -10.6, 0.8, 15.1, 16.3, 11.5, 1.8, -2.4, -14.9, -18.6, 30, 36, 20, 13, 25, 29, 54, 45, 89, 79, 46, 31, 597, 686, 579, 322, 43, 0, 0, 0, 21, 113, 443, 575, 0, 0, 0, 0, 12, 302, 352, 200, 17, 6, 0, 0, 1152, 1186, 1137, 856, 856, 533, 103, 68, 204, 487, 636, 984, 1129, 0, 0, 0, 0, 0, 14, 17, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 31, 31, 12, 4, 0, 0, 30, 36, 20, 13, 18, 0, 0, 1, 39, 66, 13, 16, 0, 0, 0, 0, 37, 81, 71, 44, 14, 0, 0, 0, 0, 0, 0, 0, 11, 52, 17, 0, 0, 0, 0, 0, 73, 57, 68, 65, 75, 75, 80, 80, 82, 84, 70, 73, "TUNDRA"
"6483", "ak031.crn", 1960, "FTR", 67.933333, -161.699997, 126, -22.9, -14.9, -13.2, -7, 7.6, 12.8, 18, 13.7, 3.5, -6, -16.1, -12.8, -30.9, -23, -21, -18, 1, 6.2, 10.5, 6.9, -2.8, -12.2, -21.3, -19.7, -26.9, -18.9, -17.1, -12.5, 4.3, 9.5, 14.3, 10.3, 0.3, -9.1, -18.7, -16.3, 20, 21, 5, 16, 17, 21, 70, 79, 102, 79, 18, 25, 832, 531, 532, 379, 8, 0, 0, 0, 37, 228, 556, 504, 0, 0, 0, 0, 37, 138, 287, 162, 11, 1, 0, 0, 1386, 1031, 1090, 913, 913, 425, 255, 120, 240, 530, 843, 1099, 1058, 0, 0, 0, 0, 1, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 31, 30, 7, 0, 0, 0, 20, 21, 5, 16, 6, 1, 1, 4, 21, 54, 13, 19, 0, 0, 0, 0, 43, 61, 73, 44, 15, 0, 0, 0, 0, 0, 0, 0, 27, 40, 3, 0, 0, 0, 0, 0, 60, 63, 64, 53, 77, 78, 76, 78, 76, 73, 75, 66, "TUNDRA"
"6946", "ak031.crn", 1921, "FTR", 67.933333, -161.699997, 126, -23.2, -21.3, -15.1, -5.6, 6, 14, 18.7, 14.6, 4.8, -5.7, -10.1, -18.8, -31, -29.1, -21.7, -15.3, -1.5, 7.3, 11, 9.3, -1.3, -11.6, -16.2, -25, -27.1, -25.2, -18.4, -10.4, 2.3, 10.7, 14.8, 12, 1.8, -8.7, -13.1, -21.9, 29, 20, 37, 9, 16, 15, 46, 86, 53, 54, 14, 31, 839, 705, 571, 318, 22, 0, 0, 0, 21, 225, 393, 678, 0, 0, 0, 1, 19, 171, 302, 216, 17, 1, 0, 0, 1394, 1206, 1129, 852, 852, 488, 221, 105, 189, 487, 830, 933, 1232, 0, 0, 0, 0, 0, 2, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 31, 31, 10, 0, 0, 0, 29, 20, 37, 9, 10, 0, 0, 2, 31, 66, 36, 32, 0, 0, 0, 0, 42, 64, 75, 42, 16, 0, 0, 0, 0, 0, 0, 0, 26, 50, 29, 0, 0, 0, 0, 0, 61, 61, 69, 58, 73, 78, 75, 83, 78, 74, 73, 71, "TUNDRA"
"7409", "ak031.crn", 1928, "FTR", 67.933333, -161.699997, 126, -18.3, -14.7, -20.5, -3.2, 6.2, 16.2, 18.7, 13.1, 4.3, -3.4, -12.3, -19.3, -25.8, -22.3, -27.2, -12, -1.7, 9.4, 10.7, 6.4, -0.8, -11.1, -18.7, -27.2, -22.1, -18.5, -23.9, -7.6, 2.3, 12.8, 14.7, 9.7, 1.7, -7.3, -15.5, -23.2, 17, 17, 5, 6, 3, 12, 53, 76, 56, 43, 30, 23, 684, 519, 740, 234, 22, 0, 0, 0, 21, 211, 462, 719, 0, 0, 0, 1, 19, 234, 299, 144, 17, 1, 0, 0, 1238, 1018, 1299, 767, 767, 487, 154, 109, 259, 488, 786, 1004, 1273, 0, 0, 0, 0, 0, 5, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 31, 30, 12, 0, 0, 0, 17, 17, 5, 6, 2, 0, 0, 4, 13, 45, 16, 26, 0, 0, 0, 0, 43, 69, 76, 43, 15, 0, 0, 0, 0, 0, 0, 0, 40, 57, 23, 0, 0, 0, 0, 0, 63, 65, 67, 63, 72, 78, 75, 78, 81, 67, 71, 63, "TUNDRA"
"7872", "ak031.crn", 1942, "FTR", 67.933333, -161.699997, 126, -14.7, -12, -16.8, -0.3, 6, 15.7, 18.8, 14, 8.3, -3.9, -15.9, -24.5, -24.1, -21.8, -23.4, -9.6, -2.1, 7.7, 12.2, 8.3, 3.8, -9.4, -23.6, -33, -19.4, -16.9, -20.1, -4.9, 1.9, 11.7, 15.5, 11.1, 6.1, -6.6, -19.7, -28.7, 22, 27, 6, 5, 22, 19, 61, 73, 70, 60, 12, 11, 602, 475, 625, 171, 26, 0, 0, 0, 4, 202, 586, 888, 0, 0, 0, 3, 17, 202, 327, 189, 63, 2, 0, 0, 1156, 974, 1183, 688, 688, 498, 190, 88, 215, 358, 767, 1130, 1444, 0, 0, 0, 0, 0, 3, 11, 2, 1, 0, 0, 0, 0, 0, 0, 0, 8, 29, 31, 31, 24, 1, 0, 0, 22, 27, 6, 5, 13, 0, 0, 3, 9, 73, 18, 20, 0, 0, 0, 0, 43, 73, 71, 42, 17, 0, 0, 0, 0, 0, 0, 0, 21, 54, 10, 0, 0, 0, 0, 0, 57, 56, 68, 62, 71, 74, 79, 81, 84, 77, 64, 74, "TUNDRA"
"8335", "ak031.crn", 1903, "FTR", 67.933333, -161.699997, 126, -20.5, -18.8, -14.5, -5, 6.4, 15.6, 18.4, 14.1, 6, -5.5, -14.3, -18, -28.6, -27.3, -24.5, -15.1, -1, 7.7, 11.1, 7.7, 0.3, -11.9, -21.1, -26.1, -24.6, -23, -19.5, -10.1, 2.7, 11.7, 14.7, 10.9, 3.2, -8.7, -17.7, -22.1, 17, 16, 20, 14, 11, 16, 52, 78, 65, 53, 25, 25, 761, 645, 606, 307, 18, 0, 0, 0, 12, 225, 527, 683, 0, 0, 0, 1, 22, 201, 299, 180, 27, 1, 0, 0, 1315, 1145, 1164, 841, 841, 474, 191, 108, 222, 445, 832, 1070, 1238, 0, 0, 0, 0, 0, 3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 29, 31, 30, 15, 0, 0, 0, 17, 16, 20, 14, 6, 0, 0, 3, 25, 53, 25, 25, 0, 0, 0, 0, 43, 72, 73, 44, 16, 0, 0, 0, 0, 0, 0, 0, 32, 57, 21, 0, 0, 0, 0, 0, 60, 59, 54, 57, 74, 74, 77, 79, 80, 72, 68, 72, "TUNDRA"
"8798", "ak031.crn", 1970, "FTR", 67.933333, -161.699997, 126, -25.5, -14.8, -14.2, -6.6, 5.6, 15.2, 18.3, 12.7, 2.7, -10.2, -11.9, -19.4, -33.4, -22.8, -20.6, -13.9, -1.7, 8.3, 10.7, 6.4, -3.4, -17.2, -19, -26.2, -29.4, -18.8, -17.4, -10.2, 2, 11.8, 14.5, 9.5, -0.3, -13.7, -15.5, -22.8, 11, 10, 13, 7, 4, 3, 41, 58, 26, 52, 34, 18, 911, 528, 541, 312, 26, 0, 0, 0, 46, 419, 461, 705, 0, 0, 0, 1, 17, 204, 294, 138, 9, 0, 0, 0, 1465, 1027, 1099, 846, 846, 497, 188, 114, 265, 549, 986, 1003, 1260, 0, 0, 0, 0, 0, 3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 31, 30, 6, 0, 0, 0, 11, 10, 13, 7, 2, 0, 0, 3, 2, 46, 18, 20, 0, 0, 0, 0, 41, 68, 74, 42, 0, 0, 0, 0, 0, 0, 0, 0, 37, 65, 33, 0, 0, 0, 0, 0, 60, 63, 70, 68, 74, 77, 76, 79, 77, 68, 67, 66, "TUNDRA"
